Time,force.x,force.y,force.z,torque.x,torque.y,torque.z
1464818234.403032,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818234.4525719,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818234.5053902,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818234.5498884,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818234.6029596,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818234.6530006,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818234.7053163,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818234.7499905,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818234.802893,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818234.8526561,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818234.9051807,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818234.9500732,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.0031018,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.0529466,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.1053705,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.149987,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.2031264,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.2529445,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.3056898,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.3502066,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.4029481,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.453354,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.5057805,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.5502834,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.6033688,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.6531594,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.7057068,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.7502873,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.803443,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.8530762,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.9054296,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818235.9499094,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.003133,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.052948,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.1055977,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.150161,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.2031653,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.253316,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.305761,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.3504763,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.4033697,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.4531507,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.505656,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.5503304,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.6033556,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.6528938,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.7053523,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.7501583,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.8033247,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.8533487,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.9057255,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818236.950272,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.0033004,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.0529952,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.1056893,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.1500313,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.2031693,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.2528155,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.305531,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.3502688,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.403264,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.4529884,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.5059896,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.5504632,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.60383,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.653333,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.705665,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.750364,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.8031356,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.8530602,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.9057965,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818237.9505687,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.0034516,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.0532093,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.1058567,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.1503658,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.2036471,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.2530375,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.305886,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.350504,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.4032495,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.453164,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.5057182,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.5501013,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.6034229,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.653119,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.7062905,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.7500825,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.803153,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.8530438,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.9055393,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818238.9502976,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.0037484,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.0530262,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.1055214,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.1501045,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.2032537,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.2530127,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.3055897,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.350312,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.4036427,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.4529595,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.50577,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.5504413,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.6034749,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.6532142,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.705689,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.7503178,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.8035421,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.8533044,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.9057407,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818239.9503472,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.0037143,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.0532496,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.1059866,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.150139,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.2034767,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.2531374,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.305832,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.3504584,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.4032905,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.453314,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.5058804,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.5503387,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.6037343,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.6530461,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.7058768,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.7505057,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.803711,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.8529637,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.9058757,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818240.9504526,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.0034745,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.0530844,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.1057951,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.150516,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.2036614,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.2532887,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.3058686,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.3509483,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.4036505,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.4532926,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.5055811,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.5504513,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.6036687,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.653281,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.7061217,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.7505307,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.8035657,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.8532948,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.9061441,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818241.9505987,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.0035625,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.0532057,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.1057951,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.1504223,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.2032886,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.2531786,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.3057811,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.3505242,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.4035509,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.4530442,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.5059552,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.5505252,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.603772,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.6536555,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.7057478,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.750591,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.8036094,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.8532476,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.9059296,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818242.9506319,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.0035872,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.0533144,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.1059484,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.1505897,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.2037158,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.2533553,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.3058205,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.3506331,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.4034486,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.453258,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.5058465,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.5504856,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.6035235,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.6535542,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.7062871,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.7505794,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.8035402,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.8532543,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.9058623,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818243.9505103,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.0035458,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.0531907,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.1059813,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.1504765,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.2034009,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.2532241,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.3064702,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.3507693,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.4036262,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.4532466,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.5058706,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.5505357,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.6035368,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
1464818244.6535385,0.0,0.0,0.0,0.0,0.0,-4.330576494644002
