Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1464818234.3041842,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.3042066,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.3510041,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.4022784,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.4522462,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.5043256,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.549115,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.6021209,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.6516933,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.7043154,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.7490184,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.801892,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.8517876,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.904295,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.9489594,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.0018733,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.0517642,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.1044436,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.1489775,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.2020278,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.2517717,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.3045185,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.3491426,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.4019444,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.4519863,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.5045915,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.549138,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.6020164,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.6517572,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.704595,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.7490451,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.8021405,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.8518858,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.9042733,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.948963,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.0020387,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.0517588,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.1044292,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.1490288,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.2020278,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.2520835,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.3045294,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.3493648,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.4020689,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.4521737,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.5043714,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.5490534,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.6022012,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.6517818,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.7043636,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.748975,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.8021104,0.0,0.0,0.0,0.0,0.0,0.0
