Time,force.x,force.y,force.z,torque.x,torque.y,torque.z
1464818234.3519676,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.4029338,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.4525306,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.505357,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.5498729,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.6029482,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.6527593,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.705186,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.7498045,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.8028793,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.8525379,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.9050226,0.0,0.0,0.0,0.0,0.0,0.0
1464818234.9499104,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.0028923,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.0528102,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.1052663,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.149826,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.2027907,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.2526388,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.305152,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.3498328,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.402785,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.4527535,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.505237,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.549864,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.602833,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.6529295,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.70526,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.7498999,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.8028972,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.8526616,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.9052327,0.0,0.0,0.0,0.0,0.0,0.0
1464818235.9497592,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.0028684,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.0526257,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.1052907,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.1497788,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.2028377,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.2527192,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.3053148,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.3502703,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.402971,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.4527197,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.5052667,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.5498626,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.6030202,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.6527283,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.705213,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.7498622,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.80288,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.8529367,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.905321,0.0,0.0,0.0,0.0,0.0,0.0
1464818236.949956,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.0029974,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.0528054,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.1052072,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.1498404,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.2029655,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.2525706,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.3052378,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.3499274,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.402923,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.4526634,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.5055838,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.5500326,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.6034734,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.6528044,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.7054863,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.7499683,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.802966,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.852799,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.9055214,0.0,0.0,0.0,0.0,0.0,0.0
1464818237.9500897,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.0030737,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.0527623,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.1054275,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.150088,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.203204,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.2527483,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.3053732,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.3501108,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.402994,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.452932,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.505375,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.549985,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.6031423,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.6529047,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.7061844,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.749886,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.8029652,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.8527567,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.9053829,0.0,0.0,0.0,0.0,0.0,0.0
1464818238.9499278,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.003137,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.0527675,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.1054232,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.149909,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.2030828,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.2528467,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.305521,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.3500552,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.4033618,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.452784,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.505519,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.5502722,0.0,0.0,0.0,0.0,0.0,0.0
1464818239.6031709,0.0,0.0,0.0,0.0,0.0,0.0
