Time,data
1464818234.4591362,1.0915100574493408e-06
1464818234.4722211,-0.078538678586483
1464818234.4862869,1.0915100574493408e-06
1464818234.4991527,-0.078538678586483
1464818234.5131378,-0.06981207430362701
1464818234.5261397,-0.078538678586483
1464818234.5402532,-0.06981207430362701
1464818234.5531576,-0.078538678586483
1464818234.5662074,-0.06981207430362701
1464818234.580108,-0.078538678586483
1464818234.593407,-0.06981207430362701
1464818234.606148,-0.078538678586483
1464818234.6201735,-0.06981207430362701
1464818234.633283,-0.078538678586483
1464818234.646161,-0.06981207430362701
1464818234.660199,-0.078538678586483
1464818234.6734288,-0.06981207430362701
1464818234.686174,-0.078538678586483
1464818234.7011507,1.0915100574493408e-06
1464818234.714185,-0.078538678586483
1464818234.7262695,-0.06981207430362701
1464818234.7402406,-0.078538678586483
1464818234.754257,-0.06981207430362701
1464818234.7662785,-0.078538678586483
1464818234.7791915,-0.06981207430362701
1464818234.7931304,0.008727779611945152
1464818234.8071392,1.0915100574493408e-06
1464818234.8200982,-0.078538678586483
1464818234.8331661,-0.06981207430362701
1464818234.8460572,-0.078538678586483
1464818234.86015,-0.06981207430362701
1464818234.8742683,-0.078538678586483
1464818234.8860946,1.0915100574493408e-06
1464818234.9001832,-0.078538678586483
1464818234.9130938,-0.06981207430362701
1464818234.9261477,-0.078538678586483
1464818234.941377,-0.06981207430362701
1464818234.9531937,-0.078538678586483
1464818234.9662275,-0.06981207430362701
1464818234.9801412,-0.078538678586483
1464818234.993275,-0.06981207430362701
1464818235.0061598,-0.078538678586483
1464818235.020167,1.0915100574493408e-06
1464818235.034245,-0.078538678586483
1464818235.0472162,1.0915100574493408e-06
1464818235.0612779,-0.078538678586483
1464818235.0732713,1.0915100574493408e-06
1464818235.088212,-0.078538678586483
1464818235.1012757,-0.06981207430362701
1464818235.114136,-0.078538678586483
1464818235.128322,1.0915100574493408e-06
1464818235.141248,0.008727779611945152
1464818235.153202,1.0915100574493408e-06
1464818235.166243,-0.078538678586483
1464818235.1803112,-0.06981207430362701
1464818235.1942608,-0.078538678586483
1464818235.2072313,1.0915100574493408e-06
1464818235.2192647,0.008727779611945152
1464818235.233213,-0.06981207430362701
1464818235.2471743,0.008727779611945152
1464818235.260261,-0.06981207430362701
1464818235.273398,-0.078538678586483
1464818235.2873273,-0.06981207430362701
1464818235.3010802,-0.078538678586483
1464818235.314223,-0.06981207430362701
1464818235.3272014,-0.078538678586483
1464818235.3402379,-0.06981207430362701
1464818235.3542295,-0.078538678586483
1464818235.36831,-0.06981207430362701
1464818235.3791974,-0.078538678586483
1464818235.3942022,1.0915100574493408e-06
1464818235.407246,-0.078538678586483
1464818235.420346,1.0915100574493408e-06
1464818235.434185,-0.078538678586483
1464818235.4486172,-0.06981207430362701
1464818235.460444,-0.078538678586483
1464818235.4743173,1.0915100574493408e-06
1464818235.4872365,-0.078538678586483
1464818235.5011694,-0.06981207430362701
1464818235.5132596,0.008727779611945152
1464818235.5272715,-0.06981207430362701
1464818235.540206,-0.078538678586483
1464818235.5532336,1.0915100574493408e-06
1464818235.5673091,0.008727779611945152
1464818235.5802393,1.0915100574493408e-06
1464818235.5942783,-0.078538678586483
1464818235.6071649,1.0915100574493408e-06
1464818235.6192782,0.008727779611945152
1464818235.6342907,-0.06981207430362701
1464818235.6472023,0.008727779611945152
1464818235.6611702,-0.06981207430362701
1464818235.6733162,-0.078538678586483
1464818235.687238,-0.06981207430362701
1464818235.7011964,-0.078538678586483
1464818235.7142093,-0.06981207430362701
1464818235.726234,-0.078538678586483
